Species,Count
SAR92 bacterium BACL16 MAG-120619-bin48,5.05E-08
Idiomarina abyssalis,5.05E-08
Streptomyces prasinopilosus,5.05E-08
Mycobacterium sp. JS623,5.05E-08
[Propionibacterium] namnetense,5.05E-08
Solirubrobacter sp. URHD0082,5.05E-08
Pseudoalteromonas phenolica,5.05E-08
Methylophaga frappieri,5.05E-08
Cylindrospermopsis raciborskii,5.05E-08
Microvirga lotononidis,5.05E-08
Vibrio metschnikovii,5.05E-08
Arenimonas malthae,5.05E-08
Plesiomonas shigelloides,5.05E-08
Erwinia persicina,4.33E-08
Leeuwenhoekiella sp. Hel_I_48,4.33E-08
Streptomyces griseus,4.33E-08
Vibrio mediterranei,4.33E-08
Streptomyces niveus,4.33E-08
Vibrio genomosp. F10,4.33E-08
Methylosinus sp. LW4,4.33E-08
Rhodopseudomonas sp. B29,4.33E-08
Myroides profundi,4.33E-08
Myroides sp. ZB35,4.33E-08
Dechloromonas agitata,4.33E-08
Ruegeria conchae,4.33E-08
Nakamurella lactea,4.33E-08
Alkalimonas amylolytica,4.33E-08
Streptomyces sp. CNT360,4.33E-08
Xenorhabdus bovienii,4.33E-08
Cyclobacterium marinum,4.33E-08
bacteria symbiont BFo2 of Frankliniella occidentalis,4.33E-08
Algicola sagamiensis,4.33E-08
Streptomyces caatingaensis,4.33E-08
Hyphomonas neptunium,4.33E-08
Ventosimonas gracilis,4.33E-08
Idiomarina baltica,4.33E-08
Nisaea denitrificans,4.33E-08
Shewanella algae,4.33E-08
Bartonella florencae,4.33E-08
Flavobacterium aquatile,4.33E-08
Achromatium sp. WMS2,4.33E-08
Erwinia toletana,4.33E-08
Mycobacterium chlorophenolicum,4.33E-08
Nocardia nova,4.33E-08
Bosea sp. Leaf344,4.33E-08
Streptomyces subrutilus,4.33E-08
Methylovulum miyakonense,4.33E-08
Psychromonas ingrahamii,4.33E-08
Grimontia indica,4.33E-08
Beijerinckia mobilis,4.33E-08
Flavobacterium soli,4.33E-08
Mycobacterium arupense,4.33E-08
Microvirga vignae,4.33E-08
Bifidobacterium bifidum,4.33E-08
Rhizobiales bacterium YIM 77505,4.33E-08
Nocardia rhamnosiphila,4.33E-08
Arenibacter nanhaiticus,4.33E-08
Mycobacterium sp. EPa45,4.33E-08
Shewanella benthica,4.33E-08
Idiomarina salinarum,4.33E-08
Acetobacter ghanensis,4.33E-08
Orrella dioscoreae,4.33E-08
Alishewanella sp. HH-ZS,4.33E-08
Acaricomes phytoseiuli,4.33E-08
Rhizobacter sp. Root404,3.61E-08
Arthrobacter sp. ATCC 21022,3.61E-08
Hyphomonas beringensis,3.61E-08
Haemophilus influenzae,3.61E-08
Glycomyces arizonensis,3.61E-08
Mycobacterium phlei,3.61E-08
Pseudomonas lutea,3.61E-08
Brachybacterium paraconglomeratum,3.61E-08
Mobilicoccus pelagius,3.61E-08
Pseudomonas syringae,3.61E-08
Thermobispora bispora,3.61E-08
Mycobacterium simiae,3.61E-08
Intrasporangium oryzae,3.61E-08
Shewanella mangrovi,3.61E-08
Streptomyces venezuelae,3.61E-08
Sanguibacter keddieii,3.61E-08
Pseudomonas syringae group genomosp. 3,3.61E-08
Streptomyces griseoruber,3.61E-08
Saccharibacter sp. AM169,3.61E-08
Amycolatopsis halophila,3.61E-08
Nocardia takedensis,3.61E-08
Paraglaciecola arctica,3.61E-08
Pseudomonas knackmussii,3.61E-08
Desulfitobacterium hafniense,3.61E-08
Bacteroides dorei CAG:222,2.89E-08
endosymbiont of unidentified scaly snail isolate Monju,2.89E-08
Promicromonosporaceae bacterium W15,2.89E-08
Sodalis praecaptivus,2.89E-08
Thiorhodococcus sp. AK35,2.89E-08
Methylophaga aminisulfidivorans,2.89E-08
Methylophaga lonarensis,2.89E-08
Bacteroides vulgatus CAG:6,2.89E-08
Paraoerskovia marina,2.89E-08
Pantoea sp. IMH,2.89E-08
Lelliottia amnigena,2.89E-08
Parvibaculum lavamentivorans,2.89E-08
Austwickia chelonae,2.89E-08
Aquimarina spongiae,2.89E-08
Vibrio proteolyticus,2.89E-08
Idiomarina xiamenensis,2.89E-08
Serinicoccus marinus,2.89E-08
Thiorhodococcus drewsii,2.89E-08
Flavobacterium sp. ACAM 123,2.89E-08
Agarivorans gilvus,2.89E-08
Methylohalobius crimeensis,2.89E-08
Frankia sp. Iso899,2.89E-08
Microbacterium oleivorans,2.89E-08
Photobacterium sanctipauli,2.89E-08
Demetria terragena,2.89E-08
Flavobacterium glycines,2.89E-08
Methylobacter marinus,2.89E-08
Williamsia herbipolensis,2.89E-08
Candidatus Thiodiazotropha endoloripes,2.89E-08
Stenotrophomonas maltophilia,2.89E-08
Janibacter sp. HTCC2649,2.89E-08
Sphingomonas wittichii,2.89E-08
Rhodococcus fascians,2.89E-08
Aquisalimonas asiatica,2.89E-08
Flavobacterium indicum,2.89E-08
Candidatus Puniceispirillum marinum,2.89E-08
Rhodococcus pyridinivorans,2.89E-08
Ectothiorhodospira haloalkaliphila,2.89E-08
Beggiatoa sp. PS,2.89E-08
Microbacterium paludicola,2.89E-08
Erwinia iniecta,2.89E-08
Pseudoalteromonas rubra,2.89E-08
Pseudoalteromonas undina,2.89E-08
gamma proteobacterium SCGC AAA300-D14,2.89E-08
Corynebacterium amycolatum,2.89E-08
Nocardiopsis sp. CNT312,2.89E-08
Sanguibacteroides justesenii,2.89E-08
Bradyrhizobium oligotrophicum,2.89E-08
Thalassotalea sp. ND16A,2.89E-08
Legionella hackeliae,2.89E-08
Legionella longbeachae,2.89E-08
Methylophaga muralis,2.89E-08
Rhodobacteraceae bacterium ASP10-04a,2.89E-08
Enterobacter sp. 638,2.89E-08
Gordonia neofelifaecis,2.89E-08
Rhodobacteraceae bacterium REDSEA-S03_B4,2.89E-08
Staphylococcus sp. HMSC062B11,2.89E-08
Thioalkalivibrio versutus,2.89E-08
Cellulomonas sp. Root930,2.89E-08
Phaseolibacter flectens,2.89E-08
Pseudolabrys sp. Root1462,2.89E-08
Leifsonia sp. Root1293,2.89E-08
Smaragdicoccus niigatensis,2.89E-08
Sphingopyxis macrogoltabida,2.89E-08
Sulfurivirga caldicuralii,2.89E-08
Flavobacterium filum,2.89E-08
Microbacterium chocolatum,2.89E-08
Porphyromonas gingivalis,2.89E-08
Rhodococcus sp. Leaf247,2.89E-08
Curtobacterium sp. Leaf183,2.89E-08
Pseudomonadales bacterium RIFCSPHIGHO2_12_FULL_40_16,2.89E-08
Leclercia adecarboxylata,2.89E-08
Gordonia sihwensis,2.89E-08
Photobacterium ganghwense,2.89E-08
Bacteroides vulgatus,2.89E-08
Corynebacterium epidermidicanis,2.89E-08
Methylobacterium sp. ARG-1,2.89E-08
Serratia sp. ATCC 39006,2.89E-08
Sphingorhabdus marina,2.89E-08
Capnocytophaga granulosa,2.89E-08
Salinivibrio sp. AR640,2.89E-08
Microbacterium sp. CH12i,2.89E-08
Xenophilus azovorans,2.89E-08
Streptomyces sp. WM6378,2.89E-08
Vibrio orientalis,2.89E-08
Azospirillum brasilense,2.89E-08
Streptomyces humi,2.89E-08
Kosakonia sacchari,2.89E-08
Marinagarivorans algicola,2.89E-08
Pantoea septica,2.89E-08
Rouxiella chamberiensis,2.89E-08
Tumebacillus flagellatus,2.89E-08
Cronobacter sakazakii,2.89E-08
Rhodopseudomonas sp. AAP120,2.89E-08
Solemya velum gill symbiont,2.89E-08
Streptomyces sp. NRRL F-5053,2.89E-08
Cellulomonas massiliensis,2.89E-08
Waddlia chondrophila,2.89E-08
alpha proteobacterium Q-1,2.89E-08
Legionella jordanis,2.89E-08
Nocardia vinacea,2.89E-08
Thalassospira profundimaris,2.89E-08
Mobilicoccus sp. SIT2,2.89E-08
Streptomyces ossamyceticus,2.16E-08
Aeromonas hydrophila,2.16E-08
Dietzia sp. UCD-THP,2.16E-08
Porphyrobacter sp. HL-46,2.16E-08
Mycobacterium sp. URHB0044,2.16E-08
Nocardia otitidiscaviarum,2.16E-08
Haloactinobacterium album,2.16E-08
Micrococcus luteus,2.16E-08
Mycobacterium triplex,2.16E-08
Hyphomonas oceanitis,2.16E-08
Pseudoxanthomonas suwonensis,2.16E-08
Streptomyces sp. TAA040,2.16E-08
Bartonella senegalensis,2.16E-08
Skermania piniformis,2.16E-08
Neorickettsia sennetsu,2.16E-08
Hoyosella subflava,2.16E-08
Leucobacter chromiiresistens,2.16E-08
Cellulomonas fimi,2.16E-08
Cellulosimicrobium cellulans,2.16E-08
Sulfurimonas hongkongensis,2.16E-08
Microbacterium sp. UNCCL10,2.16E-08
Rhodospirillales bacterium URHD0088,2.16E-08
Streptomyces sp. NRRL WC-3605,2.16E-08
Streptomyces atroolivaceus,2.16E-08
Bibersteinia trehalosi,2.16E-08
Nocardia paucivorans,2.16E-08
Streptomyces albidoflavus,2.16E-08
Streptomyces zinciresistens,2.16E-08
Streptomyces olivaceus,2.16E-08
Flavobacterium cauense,2.16E-08
Actinomyces marimammalium,2.16E-08
Xylanimonas cellulosilytica,2.16E-08
Bradyrhizobium neotropicale,2.16E-08
Treponema endosymbiont of Eucomonympha sp.,2.16E-08
Mycobacterium intracellulare,2.16E-08
Streptomyces aurantiacus,2.16E-08
Streptomyces griseoaurantiacus,2.16E-08
Gordonia terrae,2.16E-08
Mycobacterium colombiense,2.16E-08
Streptomyces viridochromogenes,2.16E-08
Thalassospira australica,2.16E-08
candidate division NC10 bacterium SPGG6,2.16E-08
Sinosporangium album,2.16E-08
Salinivibrio sp. MA607,2.16E-08
Gordonia kroppenstedtii,2.16E-08
Mycobacterium sinense,2.16E-08
Glycomyces sp. NRRL B-16210,2.16E-08
Actinomyces sp. VUL4_3,2.16E-08
Catenovulum agarivorans,1.44E-08
Shewanella pealeana,1.44E-08
Candidatus Gullanella endobia,1.44E-08
Microbacterium trichothecenolyticum,1.44E-08
Mycobacterium iranicum,1.44E-08
Exiguobacterium sp. S17,1.44E-08
Vibrio mexicanus,1.44E-08
Janthinobacterium sp. B9-8,1.44E-08
Caballeronia zhejiangensis,1.44E-08
Methylibium petroleiphilum,1.44E-08
Ralstonia mannitolilytica,1.44E-08
Scytonema tolypothrichoides,1.44E-08
Sphingomonas sp. KC8,1.44E-08
Nitrobacter hamburgensis,1.44E-08
Streptomyces sp. HmicA12,1.44E-08
Fervidobacterium pennivorans,1.44E-08
Spirosoma linguale,1.44E-08
Neorickettsia risticii,1.44E-08
Rheinheimera baltica,1.44E-08
Actinomyces sp. S4-C9,1.44E-08
Vibrio diazotrophicus,1.44E-08
Vibrio genomosp. F6,1.44E-08
SAR86 cluster bacterium SAR86A,1.44E-08
Siansivirga zeaxanthinifaciens,1.44E-08
Diplorickettsia massiliensis,1.44E-08
Rhodoplanes sp. Z2-YC6860,1.44E-08
Legionella tunisiensis,1.44E-08
alpha proteobacterium SCGC AAA027-J10,1.44E-08
alpha proteobacterium SCGC AAA015-O19,1.44E-08
Nocardia arizonensis,1.44E-08
Brevibacterium senegalense,1.44E-08
Arenimonas metalli,1.44E-08
Fodinicurvata sediminis,1.44E-08
Enterobacteriaceae bacterium LSJC7,1.44E-08
Thioalkalivibrio paradoxus,1.44E-08
Treponema brennaborense,1.44E-08
Halothiobacillus neapolitanus,1.44E-08
Corynebacterium falsenii,1.44E-08
Buttiauxella ferragutiae,1.44E-08
Pragia fontium,1.44E-08
Hyphomicrobium sp. MC1,1.44E-08
Frateuria aurantia,1.44E-08
Nocardioides sp. CF8,1.44E-08
Pseudomonas sp. S9,1.44E-08
Citromicrobium bathyomarinum,1.44E-08
Brenneria goodwinii,1.44E-08
Ralstonia sp. PBA,1.44E-08
Coxiella burnetii,1.44E-08
Xylanimicrobium pachnodae,1.44E-08
Bradyrhizobium lablabi,1.44E-08
Thiothrix nivea,1.44E-08
Alteromonas stellipolaris,1.44E-08
Cryobacterium roopkundense,1.44E-08
Hafnia sp. HMSC23F03,1.44E-08
Myroides sp. A21,1.44E-08
Arthrobacter sp. Hiyo1,1.44E-08
Yokenella regensburgei,1.44E-08
Coxiella-like endosymbiont,1.44E-08
Candidatus Desantisbacteria bacterium CG2_30_40_21,1.44E-08
Gammaproteobacteria bacterium REDSEA-S26_B10,1.44E-08
Methylococcus capsulatus,1.44E-08
Corynebacterium casei,1.44E-08
Saccharomonospora glauca,1.44E-08
Corynebacterium singulare,1.44E-08
Microbacterium hominis,1.44E-08
bacteria symbiont BFo1 of Frankliniella occidentalis,1.44E-08
Candidatus Riesia pediculicola,1.44E-08
Corynebacterium ureicelerivorans,1.44E-08
Legionella moravica,1.44E-08
Chania multitudinisentens,1.44E-08
Dermacoccus sp. PE3,1.44E-08
Erythrobacter luteus,1.44E-08
Prevotella nanceiensis,1.44E-08
Parcubacteria group bacterium CG2_30_36_18,1.44E-08
Candidatus Marithrix sp. Canyon 246,1.44E-08
Legionella jamestowniensis,1.44E-08
Terasakiella sp. PR1,1.44E-08
Bosea vaviloviae,1.44E-08
Legionella adelaidensis,1.44E-08
Microbacterium profundi,1.44E-08
Acetobacter senegalensis,1.44E-08
Sphingopyxis sp. MWB1,1.44E-08
Thiorhodospira sibirica,1.44E-08
Corynebacterium massiliense,1.44E-08
Ideonella sakaiensis,1.44E-08
Franconibacter pulveris,1.44E-08
Flammeovirgaceae bacterium BBD 1991-12,1.44E-08
Saccharomonospora viridis,1.44E-08
Mycobacterium setense,1.44E-08
Glaciecola nitratireducens,1.44E-08
Actinopolyspora halophila,1.44E-08
Sphingobium sp. RAC03,1.44E-08
Cryomorphaceae bacterium BACL22 MAG-120619-bin32,1.44E-08
Arthrobacter globiformis,1.44E-08
Bacteroides stercoris,1.44E-08
Janibacter hoylei,1.44E-08
Alicycliphilus denitrificans,1.44E-08
Agromyces sp. Soil535,1.44E-08
Acetobacter malorum,1.44E-08
alpha proteobacterium BAL199,1.44E-08
Leifsonia sp. Root227,1.44E-08
Alkalilimnicola ehrlichii,1.44E-08
Leifsonia sp. Root4,1.44E-08
Shewanella xiamenensis,1.44E-08
Actinomyces sp. HMSC075B09,1.44E-08
Actinomyces sp. HMSC065F12,1.44E-08
methanotrophic endosymbiont of Bathymodiolus azoricus (Menez Gwen),1.44E-08
Azospirillum halopraeferens,1.44E-08
Halothiobacillus sp. XI15,1.44E-08
Pseudoalteromonas sp. XI10,1.44E-08
Candidatus Doolittlea endobia,1.44E-08
Mycobacterium gordonae,1.44E-08
Alteromonas sp. Mac2,1.44E-08
Aureimonas sp. Leaf454,1.44E-08
Ralstonia pickettii,1.44E-08
Cellulomonas sp. A375-1,1.44E-08
Gammaproteobacteria bacterium SCGC AG-212-F23,1.44E-08
Bradyrhizobium sp. AS23.2,1.44E-08
Bifidobacterium angulatum,1.44E-08
Microbacterium sp. GCS4,1.44E-08
Candidatus Pacebacteria bacterium CG2_30_36_39,1.44E-08
Corynebacterium genitalium,1.44E-08
Formosa agariphila,1.44E-08
Oerskovia turbata,1.44E-08
Tistrella mobilis,1.44E-08
Neorickettsia sp. 179522,1.44E-08
Corynebacterium diphtheriae,1.44E-08
Trabulsiella odontotermitis,1.44E-08
Arthrobacter sp. Edens01,1.44E-08
Sphingomonas sp. Leaf11,1.44E-08
Erwinia sp. Leaf53,1.44E-08
Ignavibacteria bacterium CG2_30_36_16,1.44E-08
Curtobacterium sp. Leaf261,1.44E-08
Thiobacillus denitrificans,1.44E-08
Bradyrhizobium valentinum,1.44E-08
Legionella spiritensis,1.44E-08
Afipia birgiae,1.44E-08
Arthrobacter castelli,1.44E-08
Kluyvera cryocrescens,1.44E-08
Comamonas badia,1.44E-08
Dokdonella immobilis,1.44E-08
Curtobacterium flaccumfaciens,1.44E-08
Thermobifida fusca,1.44E-08
Streptococcus thermophilus,1.44E-08
Actinomyces turicensis,1.44E-08
Myroides xuanwuensis,1.44E-08
Actinomyces dentalis,1.44E-08
Streptococcus oralis,1.44E-08
Mycobacterium mucogenicum,1.44E-08
Escherichia vulneris,1.44E-08
Kocuria sp. ZOR0020,1.44E-08
Neomicrococcus aestuarii,1.44E-08
secondary endosymbiont of Heteropsylla cubana,1.44E-08
Catenovulum maritimum,1.44E-08
Lactococcus lactis,1.44E-08
endosymbiont of Ridgeia piscesae,1.44E-08
Glycomyces tenuis,1.44E-08
Aquimarina pacifica,1.44E-08
Bradyrhizobium sp. URHD0069,1.44E-08
Arthrobacter sp. H20,1.44E-08
Idiomarina sp. 28-8,1.44E-08
Dyella japonica,1.44E-08
Actinoalloteichus cyanogriseus,1.44E-08
Sphingomonas haloaromaticamans,1.44E-08
Frischella perrara,1.44E-08
Mycobacterium parascrofulaceum,1.44E-08
Flavobacterium frigoris,1.44E-08
Arthrobacter sp. H5,1.44E-08
Aeromonas eucrenophila,1.44E-08
Candidatus Thiosymbion oneisti,1.44E-08
Yersinia enterocolitica,1.44E-08
Roseobacter denitrificans,1.44E-08
Vibrio crassostreae,1.44E-08
Serratia marcescens,1.44E-08
Shewanella amazonensis,1.44E-08
Corynebacterium pyruviciproducens,1.44E-08
Actinomyces timonensis,1.44E-08
Alteromonas australica,1.44E-08
Aquimarina muelleri,1.44E-08
Pectobacterium carotovorum,1.44E-08
Sedimenticola selenatireducens,1.44E-08
Citromicrobium sp. JLT1363,1.44E-08
Holospora obtusa,1.44E-08
Psychroserpens burtonensis,1.44E-08
Fluviicola taffensis,1.44E-08
Sphingopyxis sp. LPB0140,1.44E-08
Corynebacterium ulceribovis,1.44E-08
Salmonella enterica,1.44E-08
Timonella senegalensis,1.44E-08
Thalassomonas actiniarum,1.44E-08
Burkholderia cepacia,1.44E-08
Hyphomicrobium zavarzinii,1.44E-08
Pantoea sp. PSNIH2,1.44E-08
alpha proteobacterium QL1,1.44E-08
Bosea sp. LC85,1.44E-08
Pseudoalteromonas ruthenica,1.44E-08
Staphylococcus capitis,1.44E-08
Glaciibacter superstes,1.44E-08
Thiomonas bhubaneswarensis,1.44E-08
Idiomarina woesei,1.44E-08
Bordetella parapertussis,1.44E-08
Streptococcus mitis,1.44E-08
Ectothiorhodospira sp. PHS-1,1.44E-08
Caulobacteraceae bacterium PMMR1,1.44E-08
Nocardiopsis alba,1.44E-08
Oceanibaculum indicum,1.44E-08
Alteromonas macleodii,1.44E-08
Asanoa ferruginea,1.44E-08
Ruminococcus sp. Zagget7,1.44E-08
Corynebacterium nuruki,7.21E-09
Shuttleworthia satelles,7.21E-09
Dermatophilus congolensis,7.21E-09
Xanthomonas campestris,7.21E-09
Nesterenkonia jeotgali,7.21E-09
Nocardia higoensis,7.21E-09
Candidatus Moranella endobia,7.21E-09
Humibacillus sp. DSM 29435,7.21E-09
Microbacterium ketosireducens,7.21E-09
Kocuria marina,7.21E-09
Citricoccus sp. CH26A,7.21E-09
Mycobacterium obuense,7.21E-09
Methylomicrobium buryatense,7.21E-09
Mycobacterium asiaticum,7.21E-09
Salinivibrio sp. AR647,7.21E-09
Methylomicrobium alcaliphilum,7.21E-09
Candidatus Portiera aleyrodidarum,7.21E-09
Rothia dentocariosa,7.21E-09
Bifidobacterium reuteri,7.21E-09
Paenibacillus sp. JDR-2,7.21E-09
Knoellia subterranea,7.21E-09
Corynebacterium-like bacterium B27,7.21E-09
Suttonella ornithocola,7.21E-09
Nocardiopsis xinjiangensis,7.21E-09
Morococcus cerebrosus,7.21E-09
Aggregatibacter aphrophilus,7.21E-09
Streptomyces griseofuscus,7.21E-09
Mycobacterium kyorinense,7.21E-09
Mycobacterium brisbanense,7.21E-09
Actinobacillus pleuropneumoniae,7.21E-09
Euryhalocaulis caribicus,7.21E-09
Terracoccus sp. 273MFTsu3.1,7.21E-09
Streptomyces avicenniae,7.21E-09
Salinivibrio costicola,7.21E-09
Shewanella oneidensis,7.21E-09
Intrasporangium chromatireducens,7.21E-09
Cupriavidus metallidurans,7.21E-09
Solirubrobacterales bacterium URHD0059,7.21E-09
Chromobacterium violaceum,7.21E-09
Gemella haemolysans,7.21E-09
Weissella cibaria,7.21E-09
Sphingomonas sp. SRS2,7.21E-09
Novosphingobium lindaniclasticum,7.21E-09
Shewanella frigidimarina,7.21E-09
Streptomyces hokutonensis,7.21E-09
Polaromonas sp. EUR3 1.2.1,7.21E-09
Streptococcus sanguinis,7.21E-09
Microbacterium yannicii,7.21E-09
Streptomyces sp. WMMB 714,7.21E-09
Shewanella baltica,7.21E-09
Xenorhabdus nematophila,7.21E-09
Aeromonas salmonicida,7.21E-09
Dietzia alimentaria,7.21E-09
Fabibacter pacificus,7.21E-09
Piscirickettsia salmonis,7.21E-09
Avibacterium paragallinarum,7.21E-09
Novosphingobium sp. AAP93,7.21E-09
Neorickettsia helminthoeca,7.21E-09
Gryllotalpicola ginsengisoli,7.21E-09
Mycobacterium kansasii,7.21E-09
Algibacter alginolytica,7.21E-09
Corynebacterium marinum,7.21E-09
Terrabacter sp. Root181,7.21E-09
Microbacterium sp. Root180,7.21E-09
Janibacter sp. Soil728,7.21E-09
Bacillus sp. Soil531,7.21E-09
Mycobacterium genavense,7.21E-09
Mycobacterium rhodesiae,7.21E-09
Gordonia aichiensis,7.21E-09
Saccharomonospora saliphila,7.21E-09
Frigoribacterium sp. Leaf254,7.21E-09
Corynebacterium accolens,7.21E-09
Cellulomonas flavigena,7.21E-09
Bifidobacterium adolescentis,7.21E-09
Eubacterium ramulus,7.21E-09
Blastomonas sp. AAP53,7.21E-09
Saccharomonospora azurea,7.21E-09
Flavobacterium sp. 316,7.21E-09
Microterricola viridarii,7.21E-09
Actinopolyspora erythraea,7.21E-09
Methylobacter luteus,7.21E-09
Streptomyces collinus,7.21E-09
Arthrobacter sp. 35W,7.21E-09
Saccharomonospora xinjiangensis,7.21E-09
Humibacter albus,7.21E-09
Gallibacterium anatis,7.21E-09
Reichenbachiella agariperforans,7.21E-09
Prauserella rugosa,7.21E-09
Anaeromyxobacter sp. Fw109-5,7.21E-09
